id,parent_id,name,rank,common_name,obs_count
348814,348834,Guepinia helvelloides,species,Apricot Jelly,87
117951,54321,Flavoparmelia,genus,greenshield lichens,0
117943,117951,Flavoparmelia caperata,species,common greenshield lichen,84
410641,47378,Trametes gibbosa,species,Lumpy Bracket,81
63266,48423,Clavulina,genus,,0
63260,63266,Clavulina coralloides,species,White Coral Fungus,80
415479,48702,Caloboletus,genus,Bitter Boletes,0
701434,415479,Caloboletus calopus,species,Bitter Beech Bolete,76
55931,47167,Physalacriaceae,family,,0
55930,55931,Armillaria,genus,honey mushrooms,0
55950,55930,Armillaria mellea,species,Honey Mushroom,75
49545,47167,Marasmiaceae,family,Pinwheel Family,0
54067,49545,Marasmius,genus,Pinwheels and Parachute Mushrooms,0
